iamc_r10,year,CO2
EUR,1886,0.699166724
EUR,1887,0.725590189
EUR,1888,0.76905906
EUR,1889,0.804750509
EUR,1890,0.8400512
EUR,1891,0.868213694
EUR,1892,0.853055458
EUR,1893,0.824037465
EUR,1894,0.896464
EUR,1895,0.91640934
EUR,1896,0.959357914
EUR,1897,1.0029118830000001
EUR,1898,1.0313880500000001
EUR,1899,1.094151547
EUR,1900,1.143319597
EUR,1901,1.131011571
EUR,1902,1.134197379
EUR,1903,1.184808093
EUR,1904,1.201306193
EUR,1905,1.246082219
EUR,1906,1.2792683960000002
EUR,1907,1.416607617
EUR,1908,1.4403848209999999
EUR,1909,1.437860489
EUR,1910,1.459166949
EUR,1911,1.492017079
EUR,1912,1.538978199
EUR,1913,1.665646959
EUR,1914,1.481948987
EUR,1915,1.407915441
EUR,1916,1.4700503440000001
EUR,1917,1.449469438
EUR,1918,1.3609369500000001
EUR,1919,1.156021017
EUR,1920,1.348923098
EUR,1921,1.22559711
EUR,1922,1.364288808
EUR,1923,1.2989390729999999
EUR,1924,1.498422396
EUR,1925,1.4842029860000001
EUR,1926,1.246297778
EUR,1927,1.592487628
EUR,1928,1.589972678
EUR,1929,1.726973801
EUR,1930,1.593511796
EUR,1931,1.452330178
EUR,1932,1.318653327
EUR,1933,1.3426973260000001
EUR,1934,1.447055647
EUR,1935,1.50008102
EUR,1936,1.569725209
EUR,1937,1.72114403
EUR,1938,1.713195738
EUR,1939,1.757512013
EUR,1940,1.824217905
EUR,1941,1.789111347
EUR,1942,1.806151466
EUR,1943,1.8053765300000002
EUR,1944,1.600726637
EUR,1945,0.9274872909999999
EUR,1946,1.311902845
EUR,1947,1.491182469
EUR,1948,1.612665541
EUR,1949,1.737921964
EUR,1950,1.820137556
EUR,1951,2.019742551
EUR,1952,2.059814411
EUR,1953,2.101299564
EUR,1954,2.215503641
EUR,1955,2.376499174
EUR,1956,2.504833787
EUR,1957,2.564390061
EUR,1958,2.532524834
EUR,1959,2.557890399
EUR,1960,2.760593554
EUR,1961,2.867781626
EUR,1962,3.0367151160000003
EUR,1963,3.215053965
EUR,1964,3.358527383
EUR,1965,3.4102643390000003
EUR,1966,3.496368474
EUR,1967,3.5351488570000003
EUR,1968,3.733803315
EUR,1969,3.9611679360000003
EUR,1970,4.148960614
EUR,1971,4.261075545
EUR,1972,4.386152546
EUR,1973,4.590541546
EUR,1974,4.522227619
EUR,1975,4.443350012
EUR,1976,4.7288446969999995
EUR,1977,4.703627808
EUR,1978,4.838704085000001
EUR,1979,4.993319913
EUR,1980,4.886305651
EUR,1981,4.664721001
EUR,1982,4.557438444
EUR,1983,4.525908309
EUR,1984,4.555605126
EUR,1985,4.654588954
EUR,1986,4.667318881
EUR,1987,4.711283517
EUR,1988,4.6700135750000005
EUR,1989,4.730025987
EUR,1990,4.801677136
EUR,1991,4.722295408
EUR,1992,4.590304549
EUR,1993,4.504441181
EUR,1994,4.466542607
EUR,1995,4.522791796
EUR,1996,4.659517478
EUR,1997,4.586919556000001
EUR,1998,4.591173819
EUR,1999,4.508912342
EUR,2000,4.560802306
EUR,2001,4.61700802
EUR,2002,4.609160891
EUR,2003,4.727903389
EUR,2004,4.754844
EUR,2005,4.7443723140000005
EUR,2006,4.779956337
EUR,2007,4.765997289
EUR,2008,4.660782257
EUR,2009,4.312142296
EUR,2010,4.436067638
EUR,2011,4.3211946160000005
EUR,2012,4.273418547
EUR,2013,4.175954384
EUR,2014,4.003879603
EUR,2015,4.063857274
EUR,2016,4.070800074
EUR,2017,4.106233471
EUR,2018,4.013331261
EUR,2019,3.834725691
EUR,2020,3.52834849
EUR,2021,3.764995936
EUR,2022,3.67405474
FSU,1750,0
FSU,1751,0
FSU,1752,0
FSU,1753,0
FSU,1754,0
FSU,1755,0
FSU,1756,0
FSU,1757,0
FSU,1758,0
FSU,1759,0
FSU,1760,0
FSU,1761,0
FSU,1762,0
FSU,1763,0
FSU,1764,0
FSU,1765,0
FSU,1766,0
FSU,1767,0
FSU,1768,0
FSU,1769,0
FSU,1770,0
FSU,1771,0
FSU,1772,0
FSU,1773,0
FSU,1774,0
FSU,1775,0
FSU,1776,0
FSU,1777,0
FSU,1778,0
FSU,1779,0
FSU,1780,0
FSU,1781,0
FSU,1782,0
FSU,1783,0
FSU,1784,0
FSU,1785,0
FSU,1786,0
FSU,1787,0
FSU,1788,0
FSU,1789,0
FSU,1790,0
FSU,1791,0
FSU,1792,0
FSU,1793,0
FSU,1794,0
FSU,1795,0
FSU,1796,0
FSU,1797,0
FSU,1798,0
FSU,1799,0
FSU,1800,0
FSU,1801,0
FSU,1802,0
FSU,1803,0
FSU,1804,0
FSU,1805,0
FSU,1806,0
FSU,1807,0
FSU,1808,0
FSU,1809,0
FSU,1810,0
FSU,1811,0
FSU,1812,0
FSU,1813,0
FSU,1814,0
FSU,1815,0
FSU,1816,0
FSU,1817,0
FSU,1818,0
FSU,1819,0
FSU,1820,0
FSU,1821,0
FSU,1822,0
FSU,1823,0
FSU,1824,0
FSU,1825,0
FSU,1826,0
FSU,1827,0
FSU,1828,0
FSU,1829,0
FSU,1830,1.758e-5
FSU,1831,2.1099000000000002e-5
FSU,1832,1.4064000000000001e-5
FSU,1833,1.758e-5
FSU,1834,0
FSU,1835,0
FSU,1836,0
FSU,1837,0
FSU,1838,0
FSU,1839,0
FSU,1840,0
FSU,1841,0
FSU,1842,0
FSU,1843,0
FSU,1844,0
FSU,1845,0
FSU,1846,0
FSU,1847,0
FSU,1848,0
FSU,1849,0
FSU,1850,1.09002e-4
FSU,1851,0
FSU,1852,0
FSU,1853,0
FSU,1854,0
FSU,1855,3.30526e-4
FSU,1856,0
FSU,1857,0
FSU,1858,4.6414300000000003e-4
FSU,1859,4.92273e-4
FSU,1860,6.59471e-4
FSU,1861,8.37708e-4
FSU,1862,7.5572e-4
FSU,1863,7.913659999999999e-4
FSU,1864,8.876130000000001e-4
FSU,1865,8.48399e-4
FSU,1866,0.00268066
FSU,1867,0.003076342
FSU,1868,0.002559462
FSU,1869,0.0034720249999999997
FSU,1870,0.003767898
FSU,1871,0.005086839
FSU,1872,0.005222298
FSU,1873,0.004901473
FSU,1874,0.0059494990000000005
FSU,1875,0.006847804
FSU,1876,0.008501828999999999
FSU,1877,0.008676501
FSU,1878,0.011339337
FSU,1879,0.011635208
FSU,1880,0.013649267
FSU,1881,0.014376471
FSU,1882,0.015142881
FSU,1883,0.017235365
FSU,1884,0.017499152
FSU,1885,0.019060495
FSU,1886,0.019548861
FSU,1887,0.020686004
FSU,1888,0.02157718
FSU,1889,0.023302499
FSU,1890,0.026389535999999998
FSU,1891,0.029055939
FSU,1892,0.030756303000000002
FSU,1893,0.036049895000000005
FSU,1894,0.036716494999999995
FSU,1895,0.042188323
FSU,1896,0.042947607
FSU,1897,0.049656386999999996
FSU,1898,0.055691438
FSU,1899,0.064606774
FSU,1900,0.073187026
FSU,1901,0.075136924
FSU,1902,0.072570334
FSU,1903,0.07098760100000001
FSU,1904,0.078979678
FSU,1905,0.070499237
FSU,1906,0.080412691
FSU,1907,0.090069488
FSU,1908,0.090622016
FSU,1909,0.095662512
FSU,1910,0.093815995
FSU,1911,0.09726663399999999
FSU,1912,0.11018157
FSU,1913,0.119692211
FSU,1914,0.108024923
FSU,1915,0.099152363
FSU,1916,0.105679345
FSU,1917,0.097259502
FSU,1918,0.038787593
FSU,1919,0.0331304
FSU,1920,0.030210903
FSU,1921,0.032763236
FSU,1922,0.039956816
FSU,1923,0.044138218
FSU,1924,0.052586578
FSU,1925,0.051902154
FSU,1926,0.075201087
FSU,1927,0.093495169
FSU,1928,0.103750644
FSU,1929,0.11173528199999999
FSU,1930,0.151959952
FSU,1931,0.182574659
FSU,1932,0.20568017600000002
FSU,1933,0.229897802
FSU,1934,0.278063087
FSU,1935,0.314706506
FSU,1936,0.36081325000000003
FSU,1937,0.368985964
FSU,1938,0.389450828
FSU,1939,0.394228548
FSU,1940,0.472638904
FSU,1941,0.415208573
FSU,1942,0.225927652
FSU,1943,0.23579119699999998
FSU,1944,0.34194108500000003
FSU,1945,0.36187128300000004
FSU,1946,0.406580712
FSU,1947,0.48954165400000005
FSU,1948,0.5208377710000001
FSU,1949,0.592037331
FSU,1950,0.659839691
FSU,1951,0.7150569489999999
FSU,1952,0.7657081
FSU,1953,0.810064737
FSU,1954,0.8846559250000001
FSU,1955,1.003119377
FSU,1956,1.099945307
FSU,1957,1.2037710560000001
FSU,1958,1.2850067440000001
FSU,1959,1.351060723
FSU,1960,1.406724152
FSU,1961,1.450882322
FSU,1962,1.52294836
FSU,1963,1.633447857
FSU,1964,1.737343472
FSU,1965,1.8430660909999999
FSU,1966,1.9464211740000001
FSU,1967,2.035378017
FSU,1968,2.092674992
FSU,1969,2.179464108
FSU,1970,2.2922255320000002
FSU,1971,2.432586717
FSU,1972,2.559370213
FSU,1973,2.6674387239999997
FSU,1974,2.768974473
FSU,1975,2.910540355
FSU,1976,3.022360073
FSU,1977,3.1248769690000002
FSU,1978,3.231945449
FSU,1979,3.258498062
FSU,1980,3.3864728950000003
FSU,1981,3.321699877
FSU,1982,3.384273737
FSU,1983,3.4320210159999998
FSU,1984,3.462268462
FSU,1985,3.734053818
FSU,1986,3.749316992
FSU,1987,3.73791839
FSU,1988,3.8397607989999996
FSU,1989,3.751724067
FSU,1990,3.897728032
FSU,1991,3.6670490169999996
FSU,1992,3.144883047
FSU,1993,2.899278353
FSU,1994,2.52559459
FSU,1995,2.43568286
FSU,1996,2.3526291930000003
FSU,1997,2.223530611
FSU,1998,2.2078220930000003
FSU,1999,2.18138896
FSU,2000,2.1740808630000004
FSU,2001,2.21816941
FSU,2002,2.2226055309999997
FSU,2003,2.295593678
FSU,2004,2.3308428610000003
FSU,2005,2.3614679880000002
FSU,2006,2.470944018
FSU,2007,2.4767939820000002
FSU,2008,2.515029407
FSU,2009,2.322739267
FSU,2010,2.4569801360000003
FSU,2011,2.534381486
FSU,2012,2.5649382
FSU,2013,2.498471384
FSU,2014,2.474222005
FSU,2015,2.438199005
FSU,2016,2.449481517
FSU,2017,2.48711012
FSU,2018,2.554679177
FSU,2019,2.516420598
FSU,2020,2.408036454
FSU,2021,2.506055448
FSU,2022,2.395430625
LAM,1750,0
LAM,1751,0
LAM,1752,0
LAM,1753,0
LAM,1754,0
LAM,1755,0
LAM,1756,0
LAM,1757,0
LAM,1758,0
LAM,1759,0
LAM,1760,0
LAM,1761,0
LAM,1762,0
