Model,Scenario,Region,Variable,Unit,2015,2019,2020,2030,2040,2045,2050,2053,2060,2070,2080,2090,2100
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10NORTH_AM,Emissions|CO2|AFOLU,Mt CO2/yr,200.98295021057152,188.5458637237551,187.80605959250684,113.98511899429188,67.84314367930888,17.681936286157814,-32.47927110699325,-71.89205397609236,-163.85521400399023,-265.03375157053983,-395.8058077673081,-390.8753098848514,-267.696457685133
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10NORTH_AM,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,5966.519523579406,5843.102265087739,5840.86617208587,6746.804006048802,6525.799674479765,6538.400401973558,6551.00112946735,6574.621301765021,6629.73503712625,6233.256877488515,6599.014351129636,7230.001269837978,7907.472673925129
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10NORTH_AM,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,7253.555951085622,7145.631692871449,7142.192685426981,7875.763695842187,7557.529392016416,7439.149466889491,7320.7695417625655,7285.190483719583,7202.172681619289,6677.625417658136,6733.983271521381,7307.36862244017,8069.143541770831
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10NORTH_AM,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,7304.646214944521,7198.406745029087,7193.934898270232,7914.568008456935,7590.037029780156,7464.544196679422,7339.051363578688,7303.656017122155,7221.066875390244,6699.674985210759,6743.506699413701,7315.170096855487,8072.380229573978
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10NORTH_AM,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,7535.30845927032,7430.398791585977,7438.032514241408,8184.338492527227,7963.731970449937,7816.794215124182,7669.856459798427,7627.316615465023,7528.056978687079,6998.227457820877,6929.00443769503,7492.549086893056,8244.664259358158
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10PAC_OECD,Emissions|CO2,Mt CO2/yr,1830.2358738024113,1746.538769866954,1735.9586711069078,1744.9102360857048,1535.1278743865362,1499.5072659883804,1463.8866575902248,1453.0888074288473,1427.8938237189666,1319.4764366388024,1324.2318743970434,1419.3742514499659,1545.928378309879
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10PAC_OECD,Emissions|CO2|AFOLU,Mt CO2/yr,97.5604772244117,98.24020615156472,101.88914013169668,100.85355682511336,82.16473378664531,47.286682539723785,12.408631292802252,-8.26527845686256,-56.50440120608045,-89.91046813375559,-158.60226624252462,-222.86948693907198,-233.16171681578797
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10PAC_OECD,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1732.6753965779997,1648.2985637153893,1634.0695309752111,1644.0566792605914,1452.963140599891,1452.2205834486567,1451.4780262974225,1461.35408588571,1484.398224925047,1409.386904772558,1482.834140639568,1642.2437383890378,1779.090095125667
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10PAC_OECD,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,2124.4665517138274,2030.9755609647611,2024.7014520934433,2040.5870772278809,1851.9251861916962,1799.4367515609338,1746.9483169301716,1735.84577421225,1709.9398412037663,1634.23133010879,1614.2702910497767,1587.542148871732,1689.9409031353648
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10PAC_OECD,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,2140.1796517583225,2045.571518564097,2039.6097029392565,2056.37056639831,1869.6168871436537,1815.700834884536,1761.7847826254183,1751.0106029138635,1725.8708502535683,1654.8031334400139,1633.4959110445625,1595.3139360621403,1695.5549729754362
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10PAC_OECD,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,2173.626989164972,2081.4850350701927,2077.779496565696,2098.0939542608353,1928.6341401043242,1862.2797881445872,1795.9254361848502,1787.3504682223165,1767.3422096430704,1708.9461148853582,1676.0237261634354,1613.9199546524933,1713.588069094662
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REF_ECON,Emissions|CO2,Mt CO2/yr,2545.9933008992884,2597.355241057807,2557.880661406832,2343.436123523721,2460.3350576624034,2704.236277562879,2948.137497463354,3011.8251190916903,3160.429569557807,3143.530330922153,3201.9005410477785,3299.546799549073,4016.8342216271767
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REF_ECON,Emissions|CO2|AFOLU,Mt CO2/yr,57.20526234308875,40.04047339757279,36.08295382560808,-26.054440896122593,-108.56007813459097,-147.95302397795618,-187.34596982132138,-205.09572398287932,-246.51181702651445,-305.4081972918981,-358.62256172448156,-138.2692030141141,-427.9002223921835
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REF_ECON,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2488.7880385562,2557.314767660234,2521.797707581224,2369.490564419844,2568.8951357969945,2852.189301540835,3135.4834672846755,3216.9208430745693,3406.9413865843217,3448.938528214051,3560.52310277226,3437.8160025631873,4444.73444401936
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REF_ECON,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,3324.127020488418,3410.775833934897,3376.163572071716,3102.027576120223,3193.470876195898,3425.5769554104377,3657.683034624977,3705.312944286588,3816.4494001636795,3892.4617531563445,3936.937709457227,4203.103316905734,4764.288127461968
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REF_ECON,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,3383.667610376044,3473.1221799952455,3438.8110586086364,3158.4768297597566,3248.2310244791042,3480.077953356624,3711.924882234144,3757.6695943967616,3864.407256109535,3950.1277687008915,3995.458516018361,4282.374159085479,4824.268745206686
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REF_ECON,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,3424.8286706815843,3520.6723757087557,3488.646574747076,3200.7962702349064,3272.0777926930573,3506.3209625947643,3740.5641324964713,3792.6848223864536,3914.2997654630767,4072.426581618172,4140.998715974603,4443.257516491077,5000.662472117832
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REST_ASIA,Emissions|CO2,Mt CO2/yr,2045.3375471297563,2278.837184294706,2385.142827016593,3138.56467672878,3848.11507559378,4271.959877950521,4695.804680307263,4771.206016871905,4947.142468856068,5263.811181672991,5654.214069818069,6083.72984661061,6264.196696983771
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REST_ASIA,Emissions|CO2|AFOLU,Mt CO2/yr,501.79418182373,379.571027119954,390.9481402396601,439.74521726198833,463.6729512777136,532.4866985250743,601.300445772435,565.7023053909352,482.63997783410196,405.3347345622574,242.6678598661781,-38.67644232455646,-250.87691074188984
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REST_ASIA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1543.5433653060263,1899.266157174752,1994.194686776933,2698.8194594667916,3384.4421243160664,3739.473179425447,4094.504234534828,4205.503711480969,4464.502491021966,4858.476447110734,5411.546209951891,6122.406288935167,6515.0736077256615
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REST_ASIA,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,3053.2866263882543,3357.2172579142198,3471.2086561871643,4214.878721667803,4887.478142971539,5299.624524185357,5711.770905399175,5772.601356503552,5914.539075747098,6231.35997996923,6590.575611924733,6954.431033384364,7079.911673953212
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REST_ASIA,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,3131.9959227076633,3441.904294008566,3556.184875225137,4290.814089054678,4951.66904852744,5360.068527117468,5768.468005707496,5827.827108256101,5966.331680869516,6282.040199492107,6636.5615850246995,6991.655570190811,7110.101429371953
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REST_ASIA,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,3182.105831204199,3509.5814995939954,3629.111912700826,4348.130224674668,5018.628669961573,5460.683756242295,5902.738842523017,5976.568517147693,6148.837757938601,6567.158193356445,6973.464569662257,7372.928115680342,7532.850390578231
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,World,Emissions|CO2,Mt CO2/yr,41202.74885204658,42360.17961452821,42436.57291458531,46292.37129443503,48708.59760562629,50999.2292201357,53289.86083464511,54797.76555964016,58316.20991796195,61510.51751304953,67529.01657640317,76051.16821699517,84280.97464693857
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,World,Emissions|CO2|AFOLU,Mt CO2/yr,4912.257684806003,4537.7197805903625,4493.101590904598,3773.665545009489,2589.5547040243837,1939.3858509586712,1289.2169978929587,926.3897318216755,79.79277765534732,-2435.2763135656246,-3775.244504852605,-4349.618621297947,-4654.919828111161
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36290.49116724058,37822.45983393785,37943.471323680715,42518.70574942554,46119.042901601904,49059.84336917703,52000.643836752155,53871.3758278185,58236.4171403066,63945.79382661516,71304.26108125578,80400.78683829312,88935.89447504972
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,World,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,54185.831301665436,55934.816591973504,56173.583238052415,59654.03147709104,62120.65156130932,64060.41574906216,66000.17993681498,67609.44772792413,71364.40590717875,74704.21255629633,80554.70116861234,89389.8323318377,98032.1223246553
