model,case,aggregate,r10,year,gtco2
REMIND-MAgPIE,A,Median,AFR,2061,5.688114577859553
REMIND-MAgPIE,A,Median,AFR,2062,5.85540661690562
REMIND-MAgPIE,A,Median,AFR,2063,6.022698655951687
REMIND-MAgPIE,A,Median,AFR,2064,6.1899906949977535
REMIND-MAgPIE,A,Median,AFR,2065,6.357282734043821
REMIND-MAgPIE,A,Median,AFR,2066,6.5245747730898875
REMIND-MAgPIE,A,Median,AFR,2067,6.691866812135954
REMIND-MAgPIE,A,Median,AFR,2068,6.859158851182022
REMIND-MAgPIE,A,Median,AFR,2069,7.026450890228088
REMIND-MAgPIE,A,Median,AFR,2070,7.193742929274155
REMIND-MAgPIE,A,Median,AFR,2071,7.279361804603071
REMIND-MAgPIE,A,Median,AFR,2072,7.364980679931986
REMIND-MAgPIE,A,Median,AFR,2073,7.450599555260903
REMIND-MAgPIE,A,Median,AFR,2074,7.536218430589818
REMIND-MAgPIE,A,Median,AFR,2075,7.621837305918734
REMIND-MAgPIE,A,Median,AFR,2076,7.70745618124765
REMIND-MAgPIE,A,Median,AFR,2077,7.793075056576566
REMIND-MAgPIE,A,Median,AFR,2078,7.878693931905482
REMIND-MAgPIE,A,Median,AFR,2079,7.964312807234397
REMIND-MAgPIE,A,Median,AFR,2080,8.049931682563313
REMIND-MAgPIE,A,Median,AFR,2081,8.144232075590851
REMIND-MAgPIE,A,Median,AFR,2082,8.238532468618388
REMIND-MAgPIE,A,Median,AFR,2083,8.332832861645926
REMIND-MAgPIE,A,Median,AFR,2084,8.427133254673464
REMIND-MAgPIE,A,Median,AFR,2085,8.521433647701002
REMIND-MAgPIE,A,Median,AFR,2086,8.615734040728539
REMIND-MAgPIE,A,Median,AFR,2087,8.710034433756077
REMIND-MAgPIE,A,Median,AFR,2088,8.804334826783615
REMIND-MAgPIE,A,Median,AFR,2089,8.898635219811151
REMIND-MAgPIE,A,Median,AFR,2090,8.99293561283869
REMIND-MAgPIE,A,Median,AFR,2091,9.090582087867048
REMIND-MAgPIE,A,Median,AFR,2092,9.188228562895405
REMIND-MAgPIE,A,Median,AFR,2093,9.285875037923764
REMIND-MAgPIE,A,Median,AFR,2094,9.383521512952122
REMIND-MAgPIE,A,Median,AFR,2095,9.48116798798048
REMIND-MAgPIE,A,Median,AFR,2096,9.57881446300884
REMIND-MAgPIE,A,Median,AFR,2097,9.676460938037197
REMIND-MAgPIE,A,Median,AFR,2098,9.774107413065556
REMIND-MAgPIE,A,Median,AFR,2099,9.871753888093913
REMIND-MAgPIE,A,Median,AFR,2100,9.969400363122272
REMIND-MAgPIE,A,Min,AFR,1990,0.6582814289999999
REMIND-MAgPIE,A,Min,AFR,1991,0.6878291450000001
REMIND-MAgPIE,A,Min,AFR,1992,0.666901477
REMIND-MAgPIE,A,Min,AFR,1993,0.706661511
REMIND-MAgPIE,A,Min,AFR,1994,0.7902813809999999
REMIND-MAgPIE,A,Min,AFR,1995,0.8445566109999999
REMIND-MAgPIE,A,Min,AFR,1996,0.8723208510000002
REMIND-MAgPIE,A,Min,AFR,1997,0.8939891620000001
REMIND-MAgPIE,A,Min,AFR,1998,0.9124421260000001
REMIND-MAgPIE,A,Min,AFR,1999,0.8996774830000002
