r10,iso3c,iso3c_grp,end_target,cat_end_target,end_target_year,cat_end_target_year,end_target_year_comb,end_target_comb,end_target_status_comb,end_target_status,cat_end_target_status,end_target_text,terr_GtCO2,pp1990,gdpcurrmer,year,mtco2e
R10EUROPE,ROU,EU27,Climate neutral,GHG,2050,2050,2050,GHG,In policy document,In policy document,Y,"Submission by Croatia and the European Commission on behalf of the European Union and its Member States, 6 March 2020: ""On 12 December 2019 the European Council, taking note of the Communication of the European Commission on the European Green Deal, endorsed the objective of achieving a climate-neutral EU by 2050, in line with the objectives of the Paris Agreement"" (https://unfccc.int/documents/210328)",0.07694117910451208,0.19893977213250347,251017797625.017,2020,97.45887103499999
R10EUROPE,SVK,EU27,Net zero,GHG,2050,2050,2050,GHG,In law,In law,Y,"Page 8 of https://commission.europa.eu/system/files/2023-12/SWD_Assessment_draft_updated_NECP_Slovakia_2023.pdf:
""The draft updated NECP confirms Slovakia’s commitment to achieve climate neutrality by 2050"".
From Page 4 of the same document, ""The draft updated NECP refers to the revised energy and climate targets recently agreed under the ‘Fit for 55’ package and the REPowerEU plan.""",0.03380313179297982,-0.34013702958837,105710052464.625,2020,37.33813141
R10EUROPE,SVN,EU27,Net zero,GHG,2050,2050,2050,GHG,In policy document,In policy document,Y,"- From Slovenia's Resolution on the Long-Term Climate Strategy until 2050: Slovenija bo leta 2050 podnebno nevtralna in na podnebne spremembe odporna družba na temeljih trajnostnega razvoja.

– From Slovenia's Long-Term Climate Strategy Resolution (13/07/2021): '[T]he Republic of Slovenia sets a clear objective, i.e. to attain net zero emissions or climate neutrality by 2050. By setting the climate objective, the Climate Strategy is determining the goal of attaining net zero emissions by 2050 to other sectors and their sectoral policies. It also sets the strategic sectoral objectives for 2040 and  2050, which individual sectors must observe consistently and incorporate in their sectoral documents and plans.' (p.1, https://unfccc.int/sites/default/files/resource/LTS1_SLOVENIA_EN.pdf)",0.0140496597730233,-0.12056272700798236,54331588482.3048,2020,17.85803105433333
R10EUROPE,SWE,EU27,Net zero,GHG,2045,2050,2045,GHG,In law,In law,Y,"""By 2045, Sweden is to have zero net emissions of greenhouse gases into the atmosphere. This means that greenhouse gas emissions from activities in Sweden should be at least 85 percent lower than in 1990. The remaining 15 percent can be achieved through supplementary measures...""",0.04103588426161877,0.10010274987442049,533879529188.454,2020,69.937435361
R10EUROPE,TUR,TUR,Net zero,UNCLEAR,2053,2053,2053,GHG,In policy document,In policy document,N,""" long-term objective of achieving a net zero target by 2053""",0.40298533376282497,4.794064834488834,759934804372.319,2020,547.6420110433335
R10EUROPE,BIH,BIH,,,,,,,None,None,,,0.02082552322601828,0.13332817900498478,20482603346.4473,2020,29.12315535683333
R10EUROPE,MKD,MKD,,,,,,,None,None,,,0.0076523333333333296,0.10157074989518936,12606338448.547,2020,8.19240933346667
R10EUROPE,NOR,NOR,,,,,,,None,None,,,0.0428241448326054,-0.34911333371370423,408742840909.091,2020,71.83880581599999
R10EUROPE,SRB,SRB,,,,,,,None,None,,,0.04431071032628643,0.00658488481780161,51514242775.5241,2020,52.02999581266668
R10INDIA+,IND,IND,Net zero,UNCLEAR,2070,2070,2070,GHG,In policy document,In policy document,N,"p. 3 of India’s Updated First Nationally Determined Contribution Under Paris Agreement (August 2022 Submission to UNFCCC) (https://unfccc.int/sites/default/files/NDC/2022-08/India%20Updated%20First%20Nationally%20Determined%20Contrib.pdf)

c.f. Year when current target status was reached - 2022, in accordance with the cabinet approval (available at https://pib.gov.in/PressReleasePage.aspx?PRID=1847813)

PM Modi announced net zero 2070 at World Leaders Summit COP26 in Glasgow 
https://www.hindustantimes.com/world-news/pm-modi-sets-india-2070-zero-carbon-emission-target-at-cop26-summit-101635785945035.html
https://unfccc-cop26.streamworld.de/webcast/national-statements 
https://pib.gov.in/PressReleasePage.aspx?PRID=1847813",2.6147897030695737,177.83312949965023,2835606242052.48,2020,3626.7377215599995
R10INDIA+,LKA,LKA,Carbon neutral(ity),,2050,,2050,GHG,Declaration / pledge,Declaration / pledge,,"In the prosperity scenario the annual CO2e emissions amounts 35.5 million tons GHG (2022), 21.9 million tons GHG (2030), 10.2 million tons GHG (2040) and -1.4 million tons GHG (2050). The implementation of the prosperity measures then allows a dynamic of -48.7% (2030), -79.4% (2040), -102.4% (2050) compared to the baseline. This means an average of -26.4% change between 2022 and 2030 and -65.5% between 2022 and 2050 of the annual co2e emissions.",0.02124761394092924,3.101663753242585,89014978319.0703,2020,40.217251666333325
