iso3c,year,terr_GtCO2,pp2015,pp1990,pp1850,pp2015_atp_ppp_pf1,pp2015_atp_ppp_pf2,pp2015_atp_ppp_pf3,pp2015_atp_mer_pf1,pp2015_atp_mer_pf2,pp2015_atp_mer_pf3,pp1990_atp_ppp_pf1,pp1990_atp_ppp_pf2,pp1990_atp_ppp_pf3,pp1990_atp_mer_pf1,pp1990_atp_mer_pf2,pp1990_atp_mer_pf3,pp1850_atp_ppp_pf1,pp1850_atp_ppp_pf2,pp1850_atp_ppp_pf3,pp1850_atp_mer_pf1,pp1850_atp_mer_pf2,pp1850_atp_mer_pf3
SVK,1995,0.044177077709214634,0.332687815233009,0.6196002281637291,-1.2032219989101043,0.07534491590657669,0.174500828243824,0.2927419408269901,0.053419677131914915,0.15063256446741993,0.27881172408223237,-0.052152106079868754,0.20899589780514316,0.5166751977635315,-0.11155652021205312,0.1458226971986356,0.48077469236968007,-1.543083645606018,-1.281935641721006,-0.9742563417626176,-1.6024880597382023,-1.3451088423275135,-1.0101568471564693
SVK,1996,0.044058172167608496,0.332687815233009,0.5754231504545144,-1.247399076619319,0.07617862165650377,0.1754522713527603,0.29317146860960175,0.050312555432396246,0.14610198642174382,0.277127120620653,-0.09375646223186557,0.1676436723545499,0.47371513912822616,-0.16357612696651425,0.09017368410186966,0.4324080864749422,-1.5846880017580145,-1.323287867171599,-1.0172164003979232,-1.6545076664926635,-1.4007578554242794,-1.0585234530512069
SVK,1997,0.04413030778891607,0.332687815233009,0.5313649782869059,-1.2914572487869274,0.07663376003395646,0.17594706581540065,0.29344813010753135,0.048404797916286185,0.1432621977791201,0.2761677685940544,-0.13630567702729074,0.1251538433486598,0.43045580015864854,-0.21238473402581826,0.03901320538044051,0.38601431936877456,-1.62723721655344,-1.3657776961774892,-1.0604757393675008,-1.7033162735519674,-1.4519183341457085,-1.1049172201573745
SVK,1998,0.04385914965935103,0.332687815233009,0.48723467049798985,-1.3355875565758435,0.07669944148436934,0.17604127014325732,0.29359302461451486,0.04741987511971619,0.14183120292098578,0.2757758902682419,-0.17998969968582898,0.08151210005305265,0.38677202814447886,-0.25888415902709583,-0.008571768609012542,0.34099975348887845,-1.670921239211978,-1.4094194394730966,-1.1041595113816705,-1.7498156985532451,-1.4995033081351619,-1.1499317860372709
SVK,1999,0.043069414971088724,0.332687815233009,0.44337552083863885,-1.3794467062351945,0.07654751949004354,0.17589003701948958,0.293637970437378,0.04608488816217016,0.1398316358111593,0.2750450360997384,-0.22401153232178253,0.037462116322921846,0.34308712079077464,-0.3061555611351694,-0.057512116376214784,0.2953178872119827,-1.7149430718479317,-1.4534694232032275,-1.1478444187353745,-1.7970871006613187,-1.548443655902364,-1.1956136523141667
SVK,2000,0.04116872292562554,0.332687815233009,0.4003061058675501,-1.4225161212062831,0.07683264863707515,0.17623689980370363,0.2938523618456274,0.04509462235268618,0.1383614719169522,0.2745300111257952,-0.2660766974633297,-0.004483086926623081,0.3006353898973635,-0.3517129369066315,-0.10427923813355766,0.2509794659626857,-1.7570082369894786,-1.4954146264527721,-1.1902961496287854,-1.8426444764327807,-1.5952107776597066,-1.2399520735634635
SVK,2001,0.0432556548437211,0.332687815233009,0.35913738294192454,-1.4636848441319088,0.07698406130362369,0.1764871100246641,0.2940503790842854,0.045064910599321994,0.13821859721300772,0.2746124945336702,-0.30658615515032184,-0.04476823769642374,0.26004678594452835,-0.39287322897630705,-0.1457073520274541,0.2100703367919683,-1.797517694676471,-1.535699777222573,-1.230884753581621,-1.8838047685024564,-1.6366388915536034,-1.2808612027341808
SVK,2002,0.04200867735736173,0.332687815233009,0.3158817280982035,-1.5069404989756299,0.07689555564514344,0.1764386000046896,0.29414355894233235,0.04460271112338574,0.13759131794179974,0.27446280040158116,-0.34984248698582976,-0.08794191372351551,0.2170936528960714,-0.43722066589292174,-0.19043199191703053,0.16650415457407242,-1.840774026511979,-1.5788734532496647,-1.2738378866300777,-1.9281522054190707,-1.6813635314431796,-1.3244273849520767
SVK,2003,0.042333515346484996,0.332687815233009,0.2738730507408418,-1.5489491763329917,0.07662447182994263,0.17619710455184615,0.2941720752101645,0.043798263351931176,0.13645009035468206,0.2740990779976673,-0.3923508990456656,-0.13038383098535034,0.17521754076754104,-0.4812809915726055,-0.2353234743416341,0.12360093998510702,-1.8832824385718148,-1.6213153705114998,-1.315713998758608,-1.9722125310987546,-1.7262550138677835,-1.367330599541042
SVK,2004,0.04282350280910313,0.332687815233009,0.2315395353943568,-1.5912826916794764,0.07638609336476719,0.17601650429474291,0.2942260903510235,0.04220773865753391,0.1340528492333699,0.27323212955682613,-0.4350869622102834,-0.17297804048357612,0.13308706407494653,-0.5277895290176122,-0.2838901360925106,0.07904584876242338,-1.9260185017364329,-1.663909580009725,-1.3578444754512025,-2.0187210685437615,-1.7748216756186599,-1.411885690763726
