iso3c,year,terr_GtCO2,lulucf_GtCO2_mean,lulucf_GtCO2_blue,lulucf_GtCO2_hc2023,lulucf_GtCO2_oscar
AFG,1903,0,0.00642437888888889,0.005993643333333334,0.004729376666666667,0.008550116666666668
AFG,1904,0,0.006489462222222221,0.00601711,0.0047661533333333336,0.008685123333333331
AFG,1905,0,0.006507453333333333,0.006037056666666667,0.004803003333333332,0.0086823
AFG,1906,0,0.0065808966666666665,0.0060544733333333335,0.004839963333333333,0.008848253333333334
AFG,1907,0,0.006583756666666667,0.006070166666666666,0.00487696,0.008804143333333334
AFG,1908,0,0.006648204444444444,0.006084356666666667,0.004914066666666667,0.00894619
AFG,1909,0,0.006704768888888889,0.00609697,0.004951283333333333,0.009066053333333334
AFG,1910,0,0.0067879655555555555,0.006224863333333333,0.004988573333333333,0.009150460000000001
AFG,1911,0,0.00689106,0.0063254033333333334,0.005025936666666667,0.00932184
AFG,1912,0,0.006992553333333334,0.006399653333333333,0.005063446666666666,0.00951456
AFG,1913,0,0.007034328888888889,0.006455423333333333,0.0051010299999999995,0.009546533333333334
AFG,1914,0,0.007142348888888889,0.006499313333333334,0.00513865,0.009789083333333334
AFG,1915,0,0.007197165555555556,0.006535429999999999,0.005176453333333333,0.009879613333333334
AFG,1916,0,0.00714791,0.006566193333333334,0.005214256666666667,0.00966328
AFG,1917,0,0.0071998788888888885,0.006592959999999998,0.005252243333333333,0.009754433333333333
AFG,1918,0,0.007223247777777777,0.006616646666666667,0.005290266666666666,0.009762829999999998
AFG,1919,0,0.00726748,0.006637803333333334,0.0053284000000000005,0.009836236666666666
AFG,1920,0,0.00720174888888889,0.00651167,0.005366606666666666,0.00972697
AFG,1921,0,0.007261381111111111,0.00644281,0.005404923333333334,0.00993641
AFG,1922,0,0.007323616666666667,0.006403063333333333,0.005443386666666666,0.0101244
AFG,1923,0,0.00729003,0.006379046666666667,0.0054819966666666674,0.010009046666666667
AFG,1924,0,0.007350224444444445,0.0063638666666666665,0.005520863333333334,0.010165943333333333
AFG,1925,0,0.007382112222222223,0.006353783333333333,0.005560023333333334,0.01023253
AFG,1926,0,0.007417324444444445,0.006346853333333333,0.005599366666666666,0.010305753333333334
AFG,1927,0,0.007426955555555556,0.006342490000000001,0.0056390400000000005,0.010299336666666667
AFG,1928,0,0.00742709,0.006338566666666666,0.005678933333333333,0.010263769999999998
AFG,1929,0,0.007439458888888889,0.00633545,0.0057190466666666665,0.01026388
AFG,1930,0,0.007413804444444445,0.006162163333333333,0.005759416666666667,0.010319833333333334
AFG,1931,0,0.007461507777777778,0.0060819,0.005800006666666667,0.010502616666666666
AFG,1932,0,0.007473693333333332,0.0060312633333333325,0.005840816666666666,0.010549
AFG,1933,0,0.007510983333333333,0.005994523333333333,0.00588181,0.010656616666666667
AFG,1934,0,0.007501572222222222,0.005965923333333334,0.0059230233333333335,0.01061577
AFG,1935,0,0.007525992222222222,0.005942676666666666,0.005964346666666667,0.010670953333333335
AFG,1936,0,0.007594192222222222,0.005923133333333334,0.006005816666666667,0.010853626666666664
AFG,1937,0,0.007572057777777777,0.00590645,0.006047433333333333,0.01076229
AFG,1938,0,0.007652675555555555,0.005891966666666666,0.00608916,0.010976900000000001
AFG,1939,0,0.007695025555555555,0.005879316666666667,0.006130996666666668,0.011074763333333331
AFG,1940,0,0.007767503333333334,0.005940623333333334,0.006172943333333333,0.011188943333333335
AFG,1941,0,0.007855417777777778,0.005965409999999999,0.006215,0.011385843333333335
AFG,1942,0,0.007826023333333335,0.0059777300000000005,0.006257166666666667,0.011243173333333334
AFG,1943,0,0.0078049277777777785,0.00598554,0.006299333333333333,0.01112991
AFG,1944,0,0.007877442222222223,0.00599071,0.0063415,0.011300116666666667
AFG,1945,0,0.007863264444444443,0.005994229999999999,0.006383886666666666,0.011211676666666667
AFG,1946,0,0.007921845555555557,0.005996906666666667,0.006426530000000001,0.0113421
AFG,1947,0,0.007994897777777779,0.006007833333333334,0.006469246666666667,0.011507613333333333
AFG,1948,0,0.008018242222222222,0.006166820000000001,0.006511816666666666,0.01137609
AFG,1949,1.4666666666666666e-5,0.00799508111111111,0.006257863333333333,0.006553763333333334,0.011173616666666665
AFG,1950,8.433333333333333e-5,0.008565553333333333,0.00729146,0.006595343333333333,0.011809856666666667
AFG,1951,9.166666666666667e-5,0.009311059999999998,0.008146233333333332,0.006636959999999999,0.013149986666666665
AFG,1952,9.166666666666667e-5,0.009871656666666666,0.009097696666666665,0.006678356666666666,0.013838916666666668
AFG,1953,1.0633333333333333e-4,0.01050401,0.01015696,0.00671935,0.014635720000000001
AFG,1954,1.0633333333333333e-4,0.010916314444444445,0.010998276666666668,0.00675939,0.01499127666666667
AFG,1955,1.54e-4,0.011552798888888889,0.012063846666666668,0.006803206666666667,0.015791343333333333
AFG,1956,1.8333333333333334e-4,0.01206698777777778,0.01295503,0.0068535866666666655,0.01639234666666667
AFG,1957,2.933333333333333e-4,0.012557331111111111,0.013928566666666668,0.006906753333333334,0.016836673333333333
AFG,1958,3.3e-4,0.013269703333333332,0.01494687333333333,0.006956436666666668,0.0179058
AFG,1959,3.8485131233595936e-4,0.013625932222222222,0.015583040000000003,0.006832466666666666,0.01846229
AFG,1960,4.1418594994704764e-4,0.013490595555555554,0.017410066666666665,0.006897036666666668,0.016164683333333332
AFG,1961,4.911549081364823e-4,0.01177847,0.015287946666666665,0.00695508,0.013092383333333332
AFG,1962,6.890954330708654e-4,0.010867951111111109,0.013626653333333332,0.007113846666666666,0.011863353333333332
AFG,1963,7.072503412073475e-4,0.010717678888888887,0.013382343333333333,0.006952623333333332,0.01181807
AFG,1964,8.391611286089241e-4,0.009412932222222222,0.010265896666666665,0.007042823333333333,0.010930076666666667
AFG,1965,0.0010076493700787396,0.009428283333333334,0.010191756666666666,0.007116633333333334,0.01097646
