birth_year,r10,case,quantile,emf_impren_0.5,emf_impren_0.33,emf_impren_0.66
1960,EAS,A,0.1,0.8477843771120142,0.6471925788868331,1.0152578281961238
1960,EAS,A,0.167,0.9833040568874595,0.8994998154738709,1.0960132472176243
1960,EAS,A,0.2,1.1352097848133846,0.832853326596972,1.3715912892059303
1960,EAS,A,0.3,1.382264762304807,1.0586918406117898,1.4145722154968865
1960,EAS,A,0.33,1.0123580308020301,0.8686224446212062,1.1481280631163662
1960,EAS,A,0.4,1.0910667710175672,1.0418961026289928,1.1353573680857183
1960,EAS,A,0.5,0.8213803740374166,0.7928838882135683,0.8481045967886343
1960,EAS,A,0.6,0.9117828635219796,0.874913613571999,0.9462469981647744
1960,EAS,A,0.66,0.7921455660075782,0.6576980628302291,0.9203435881745108
1960,EAS,A,0.7,1.0226916650372366,0.9929292662892929,1.0509871378583766
1960,EAS,A,0.8,0.6738556210379024,0.6219182081981263,0.7216765161769035
1960,EAS,A,0.833,1.3961130497989318,1.0705693792333215,1.707627149668879
1960,EAS,A,0.9,1.0635697985327683,1.0300965578222623,1.0840736011235506
1960,EAS,C,0.1,0.8315043081037452,0.674247773428287,0.8885819097840384
1960,EAS,C,0.167,0.9833040568874595,0.8832363084192594,1.0519313955629102
1960,EAS,C,0.2,1.1352097848133846,0.827916132158919,1.3891980444222884
1960,EAS,C,0.3,1.323575643579078,1.0175461616828227,1.3972245975089854
1960,EAS,C,0.33,1.118428368547605,0.8738699104950884,1.2675392273256292
1960,EAS,C,0.4,1.0035123508487573,0.886409158556846,1.1021394202846049
1960,EAS,C,0.5,0.8492181060699351,0.8469656082270381,0.8697727892829006
1960,EAS,C,0.6,0.9232389804865373,0.87394450387493,0.9467052428433568
1960,EAS,C,0.66,0.7103281628557397,0.6567901660767682,0.9170708920484372
1960,EAS,C,0.7,1.0521661158925908,0.9926413183967033,1.0784433242389413
1960,EAS,C,0.8,0.8190105326727437,0.6887996507688403,0.9186407344623699
1960,EAS,C,0.833,1.2246027557910617,1.0348756170631994,1.480492492219109
1960,EAS,C,0.9,1.01434444454673,0.9058205208321485,1.0827921134616267
1960,EAS,E,0.1,0.8482754381126403,0.6746671346450531,0.9069754967000985
1960,EAS,E,0.167,0.9673682359315577,0.8995060245510709,0.9992753872503221
1960,EAS,E,0.2,1.0261803487411052,0.7798634627845669,1.36218066581952
1960,EAS,E,0.3,1.2730292433331227,1.053435599468664,1.337854660686236
1960,EAS,E,0.33,1.174140749835069,0.8738699104950884,1.342908518671206
1960,EAS,E,0.4,1.0030126293301502,0.891759507548159,1.089572972083492
1960,EAS,E,0.5,0.8556393929026396,0.8484161651439133,0.9051155894642382
1960,EAS,E,0.6,0.923393175995881,0.8747559276454704,0.970477552485828
1960,EAS,E,0.66,0.6586059595836902,0.5675814305067419,0.9150292071495884
1960,EAS,E,0.7,1.0521661158925908,0.9930766232351329,1.2081011779528021
1960,EAS,E,0.8,0.7203295937967336,0.6570001194759263,0.93738273704323
1960,EAS,E,0.833,1.2643829263655457,1.065174478003457,1.7023579447315436
1960,EAS,E,0.9,1.0062540431024964,0.9055052551618197,1.0851450314288247
1960,EUR,A,0.1,1.182379053133518,1.1342127260507393,1.2155144083534786
1960,EUR,A,0.167,0.9606158410330751,0.8480898302402898,1.1086637308977243
