model,scen,r10,peakyearbin,pkyearbin,netzeroyearbin,nzyearbin,category,ppp_pf,rcb2100_gtco2_cmltv,gtco2_cdr_cmltv
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/x,309.03667855568244,39.895939213515895
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/asinh(x),123.33643822551309,39.895939213515895
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/sqrt(x),209.65961330178058,39.895939213515895
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/x,347.59039409787783,39.895939213515895
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/asinh(x),181.59890515628098,39.895939213515895
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/sqrt(x),258.0208281444511,39.895939213515895
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/x,364.02770486030477,39.895939213515895
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/asinh(x),178.32746453013542,39.895939213515895
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/sqrt(x),264.65063960640293,39.895939213515895
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/x,402.58142040250016,39.895939213515895
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,1_PP1990,NA,130.75524449474065,1.551938379490209
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,2_PP1850,NA,280.93253943113314,1.551938379490209
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/asinh(x),155.05783710036076,1.551938379490209
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/sqrt(x),231.47976008853087,1.551938379490209
