iso3c,year,gtco2,pp1990,pp1850,pp1990_atp_ppp_pf1,pp1990_atp_ppp_pf2,pp1990_atp_ppp_pf3,pp1990_atp_mer_pf1,pp1990_atp_mer_pf2,pp1990_atp_mer_pf3,pp1850_atp_ppp_pf1,pp1850_atp_ppp_pf2,pp1850_atp_ppp_pf3,pp1850_atp_mer_pf1,pp1850_atp_mer_pf2,pp1850_atp_mer_pf3
STP,2013,1.0992e-4,0.02810922469729506,0.04438901176821973,0.04315565691831363,0.038664297488953135,0.0306984205702481,0.05904605456024674,0.04672188571282187,0.033053119898808866,0.0610213690228059,0.0565300095934454,0.048564132674740364,0.07691176666473902,0.06458759781731414,0.050918832003301134
STP,2014,1.2824e-4,0.027999304697295058,0.04427909176821973,0.0431192478254806,0.038602009233738376,0.03058492682918619,0.056882946634207794,0.04582954759325014,0.03273924196183198,0.06098495992997288,0.05646772133823064,0.04845063893367846,0.07474865873870007,0.06369525969774241,0.050604954066324245
STP,2015,1.35568e-4,0.02787106469729506,0.04415085176821973,0.04286071563732731,0.0384161944156485,0.030433108853278903,0.05457186705625293,0.04482937129599175,0.03239214088090446,0.06072642774181958,0.05628190652014077,0.04829882095777116,0.07243757916074521,0.06269508340048402,0.05025785298539673
STP,2016,1.50224e-4,0.02773549669729506,0.04401528376821973,0.042759308882519276,0.03828874452388615,0.030286527728368394,0.05346552840461702,0.04428311798561016,0.03213725256316196,0.06062502098701155,0.05615445662837842,0.04815223983286066,0.07133124050910929,0.062148830090102435,0.05000296466765423
STP,2017,1.3923199999999998e-4,0.02758527269729506,0.043865059768219736,0.04292472520856906,0.038264773964249016,0.030147445338149132,0.052281325786990435,0.043679556572183614,0.03186142536975453,0.060790437313061343,0.056130486068741284,0.048013157442641397,0.07014703789148272,0.061545268676675896,0.0497271374742468
STP,2018,1.3923199999999998e-4,0.02744604069729506,0.04372582776821973,0.043151377128522406,0.03828483922939368,0.030026560250919772,0.05124991725771965,0.043149164023317164,0.0316108255168287,0.061017089233014674,0.05615055133388595,0.04789227235541203,0.069115629362211925,0.06101487612780944,0.04947653762132097
STP,2019,1.42896e-4,0.02730680869729506,0.04358659576821973,0.04364301197903724,0.03841718419459827,0.029925826665580402,0.05014373095128811,0.04258791880738323,0.03135769042957002,0.06150872408352952,0.056282896299090536,0.04779153877007267,0.06800944305578038,0.0604536309118755,0.04922340253406229
STP,2020,1.3923199999999998e-4,0.02716391269729506,0.04344369976821973,0.044097049035010785,0.03852235976046456,0.029816717138476133,0.04914729010748793,0.04206317227210082,0.03111148525479296,0.06196276113950306,0.056388071864956826,0.0476824292429684,0.0670130022119802,0.05992888437659308,0.04897719735928523
SUR,1990,0.001737368,0.0906928028841938,0.09775599445161119,0.030882746508527775,0.05802878580795411,0.08345922986474505,0.029309471689642534,0.058557353847055196,0.08264318496836492,0.041629557371390985,0.06877559667081733,0.09420604072760826,0.040056282552505734,0.06930416470991842,0.09338999583122813
SUR,1991,0.002023142,0.0889554348841938,0.09601862645161119,0.028701763875382525,0.05585123063594688,0.08159561117877119,0.03373568655315886,0.06276358169474272,0.08306320781719416,0.03944857473824573,0.06659804149881009,0.09234242204163443,0.04448249741602206,0.07351039255760593,0.09381001868005737
SUR,1992,0.002030452,0.08693229288419381,0.0939954844516112,0.026160915082829125,0.05339587376746371,0.07945203196119553,0.032782538797647934,0.06157480016624078,0.08133655658207427,0.03690772594569234,0.06414268463032692,0.09019884282405875,0.043529349660511134,0.07232161102910402,0.09208336744493749
SUR,1993,0.002037762,0.08490184088419381,0.0919650324516112,0.02386161605544848,0.05118038209439793,0.07737926742829054,0.03249846304275972,0.06105371709398054,0.07982942209523032,0.03460842691831169,0.06192719295726114,0.08812607829115376,0.04324527390562294,0.07180052795684375,0.09057623295809353
SUR,1994,0.002042253,0.08286407888419381,0.0899272704516112,0.02248712953431714,0.049865331042101155,0.07557855236524616,0.031355445714496555,0.059686805673512026,0.07802410953675783,0.033233940397180355,0.060612141904964355,0.08632536322810938,0.04210225657735977,0.07043361653637523,0.08877092039962106
SUR,1995,0.002060551,0.0808218258841938,0.08788501745161119,0.021309571367089913,0.04875704870640242,0.07383880093850945,0.028221809390496577,0.056572492487906814,0.07563730058002575,0.032056382229953106,0.05950385956926564,0.08458561180137265,0.03896862025335979,0.06731930335077004,0.08638411144288898
SUR,1996,0.002082514,0.07876127488419381,0.0858244664516112,0.0200983376905803,0.04760960715158029,0.07207479970926778,0.02551651899227714,0.05386244210757046,0.07338831536257452,0.030845148553443513,0.058356418014443495,0.08282161057213099,0.03626332985514036,0.06460925297043367,0.08413512622543774
SUR,1997,0.002104476,0.0766787608841938,0.08374195245161119,0.018278437787787618,0.04590523919249852,0.07013271713114132,0.02215095664010337,0.0505875186830904,0.07093638977688238,0.029025248650650832,0.056652050055361725,0.08087952799400451,0.03289776750296658,0.06133432954595362,0.08168320063974559
SUR,1998,0.002104454,0.0745742848841938,0.0816374764516112,0.016216608632555588,0.0439391563138784,0.0680914778831777,0.018948851604054153,0.04748491283781826,0.068524315055804,0.026963419495418788,0.05468596717674161,0.07883828874604092,0.029695662466917374,0.058231723700681484,0.07927112591866721
SUR,1999,0.002122753,0.0724698308841938,0.07953302245161119,0.014029146450873376,0.04183383855282645,0.06600259443255065,0.015046303628872017,0.04372577041617655,0.0658779341826913,0.024775957313736597,0.05258064941568964,0.07674940529541387,0.02579311449173523,0.054472581279039756,0.07662474504555451
SUR,2000,0.002192347,0.07034707788419381,0.0774102694516112,0.012479020424162629,0.0402600199209935,0.06405123769226156,0.012781623454011126,0.04147243134728301,0.06372707447859027,0.023225831287025843,0.05100683078385671,0.07479804855512481,0.02352843431687434,0.052219242210146226,0.07447388534145347
SUR,2001,0.002362832,0.0681547308841938,0.07521792245161119,0.010557389738448258,0.03830343768601327,0.061936740372713364,0.010118025254081075,0.039000621696950136,0.061409579313286985,0.02130420060131147,0.04905024854887648,0.07268355123557657,0.02086483611694429,0.04974743255981336,0.07215639017615019
SUR,2002,0.001560114,0.0657918988841938,0.07285509045161119,0.008378525629534922,0.036091193592493624,0.059625207329537216,0.008317754980133374,0.03706087975543045,0.05920059242406672,0.01912533649239813,0.04683800445535684,0.07037201819240042,0.01906456584299658,0.047807690618293666,0.06994740328692993
SUR,2003,0.0015377670000000002,0.0642317848841938,0.07129497645161119,0.007098498259854834,0.03475189780761271,0.05813431351893447,0.006457294073346859,0.03521884074736332,0.05756250545693642,0.017845309122718034,0.045498708670475924,0.06888112438179768,0.017204104936210066,0.04596565161022653,0.06830931631979963
SUR,2004,0.001555785,0.0626940178841938,0.0697572094516112,0.0056866892410752205,0.0332658712759675,0.056613817624541374,0.004490813454414464,0.033305801710376615,0.055925328518166464,0.016433500103938428,0.04401268213883071,0.06736062848740458,0.015237624317277678,0.04405261257323982,0.06667213938102969
