r10,iso3c,country.name,pop_20202050,pop_19902019,pop_19902050,pop_18502050,pop_18501989,gtco2_18501989,co2_19902019_gt,gdp2017ppp_19902019_pc,gdp2017mer_19902019_pc
AFR,SDN,Sudan,2108280899.9609313,926294072,3034574971.9609313,4044059186.9609313,1009484215,0.10677903999999998,0.329312373,3195.014690722052,1361.3854170654588
AFR,SEN,Senegal,628055783.2285889,339791593,967847376.2285889,1298987019.2285888,331139643,0.061472304,0.175399788,2937.1052907329436,1087.6174169154597
AFR,SLE,Sierra Leone,292920505.85510284,169286087,462206592.85510296,698642629.855103,236436037,0.018305344,0.017238362000000004,1508.455288260414,373.68502704400424
AFR,STP,Sao Tome and Principe,6340579.391195072,4849363,11189942.39119507,19109664.39119507,7919722,8.683680000000002e-4,0.002451216,2971.383341846667,904.1940652131623
AFR,SWZ,Eswatini,44647434.350372955,30469009,75116443.35037296,107806107.35037296,32689664,0.009050080000000002,0.030792256000000004,8330.44562924782,2807.787657946099
AFR,TCD,Chad,625168809.133773,307783256,932952065.1337731,1276785644.133773,343833579,0.004928806000000002,0.032888618999999994,1524.8066676424398,605.6131904055425
AFR,TGO,Togo,279521486.8136847,170205553,449727039.81368476,624131759.8136847,174404720,0.014503129999999996,0.04920320399999999,1663.1429242077224,649.4908565868221
AFR,TUN,Tunisia,382519476.16099143,302270799,684790275.1609913,1109167887.1609917,424377612,0.21250637999999994,0.6848502439999999,9856.541116278155,3145.872336054879
AFR,TZA,United Republic of Tanzania,2493673528.0606904,1147857322,3641530850.06069,4793399383.06069,1151868533,0.063190397,0.168251598,1793.9200475986945,632.7998177404046
AFR,UGA,Uganda,2124268319.1549354,853886685,2978155004.1549354,3763186872.154936,785031868,0.026381081000000004,0.07437691199999999,1611.9571693191058,533.7757379608416
AFR,ZAF,South Africa,1858765681.4080598,1433761151,3292526832.4080586,4886952101.408061,1594425269,8.307818410000001,12.287653545000001,11407.219453772186,5506.239071230426
AFR,ZMB,Zambia,735000484.3885626,364515493,1099515977.3885624,1449772037.3885627,350256060,0.14529527599999997,0.097434666,2357.964295301229,1012.1116470535411
AFR,ZWE,Zimbabwe,414967553.0353138,370509938,785477491.0353138,1146658864.0353136,361181373,0.40698511400000004,0.366607508,3454.366693540957,898.5734557549581
EAS,CHN,China,41945339827.609726,39622920391,81568260218.60973,158166882024.60968,76598621806,40.919759588000005,186.05246088400003,7567.012244208609,3477.3240133732866
EAS,HKG,"Hong Kong SAR, China",263479562.96388638,200277108,463756670.96388644,678210597.9638863,214453927,0.417972163,1.170913125,50167.41424399338,30976.59565941735
EAS,KOR,"Korea, Rep.",1515599931.9825537,1440803773,2956403704.9825535,5360806817.982554,2404403113,2.868750259,14.845354965999999,29904.378328553976,18981.80045159384
EAS,MAC,"Macao SAR, China",21884732.854584474,14515346,36400078.85458447,46062454.85458447,9662376,0.011644192000000001,0.04264529599999999,72379.56825572743,44951.725928025095
EAS,MNG,Mongolia,108641180.9668872,77782483,186423663.96688727,312326178.96688724,125902515,0.15213442400000002,0.5016718189999999,6782.566698291825,2034.4933181407462
EUR,ALB,Albania,100475382.31907904,91482026,191957408.31907904,368448809.31907904,176491401,0.167036836,0.11697374999999999,7327.736976544168,2487.059308711312
EUR,AUT,Austria,279915805.6630031,248190351,528106156.66300297,1397443354.663003,869337198,3.3627665089999996,2.054419676,40995.00062252622,37491.23294710478
EUR,BEL,Belgium,372160932.4808123,319374032,691534964.4808124,1738624549.4808116,1047089585,8.815075002999997,3.502326365,37188.93531941883,35131.38186534954
EUR,BGR,Bulgaria,205841789.56506282,233838807,439680596.5650629,1207148032.5650628,767467436,2.248089812,1.5436509649999997,13557.558179249307,4341.848055298994
