model,scen,r10,peakyearbin,netzeroyearbin,terr_GtCO2_cmltv,terr_GtCO2_orig_cmltv,terr_GtCO2_cdr_cmltv,modelledpaths,pkyearbin,nzyearbin
AIM/CGE 2.2,EN_INDCi2030_1400f,R10LATIN_AM,peak: 2050,net-zero: 2070,74.33203906358126,78.00431219999999,15.681473300000002,7,2050,2070
AIM/CGE 2.2,EN_INDCi2030_1400f,R10MIDDLE_EAST,peak: 2030,net-zero: 2080,103.78919379387527,107.01215269999999,2.7800604199999994,17,2030,2080
AIM/CGE 2.2,EN_INDCi2030_1400f,R10NORTH_AM,peak: 2020,net-zero: 2080,196.58019519510484,195.9974694400001,12.355225879999999,62,2020,2080
AIM/CGE 2.2,EN_INDCi2030_1400f,R10PAC_OECD,peak: 2020,net-zero: 2080,53.18386187597983,53.84334850000003,4.7516992,62,2020,2080
AIM/CGE 2.2,EN_INDCi2030_1400f,R10REF_ECON,peak: 2030,net-zero: 2080,102.80489438375223,112.37052709999996,1.87965242,17,2030,2080
AIM/CGE 2.2,EN_INDCi2030_1400f,R10REST_ASIA,peak: 2050,net-zero: 2080,117.12843188010741,130.07407347999995,6.004466599999999,5,2050,2080
AIM/CGE 2.2,EN_INDCi2030_1600,R10AFRICA,peak: 2050,net-zero: 2090,85.04431527861688,88.87474058000005,0.0097183,5,2050,2090
AIM/CGE 2.2,EN_INDCi2030_1600,R10CHINA+,peak: 2030,net-zero: 2110,418.80501716896936,426.3913982399998,0,78,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1600,R10EUROPE,peak: 2020,net-zero: 2110,153.50977186885635,153.37861859999998,0,302,2020,2110
AIM/CGE 2.2,EN_INDCi2030_1600,R10INDIA+,peak: 2030,net-zero: 2080,102.29822746403015,96.87230241999998,4.126232519999999,17,2030,2080
AIM/CGE 2.2,EN_INDCi2030_1600,R10LATIN_AM,peak: 2050,net-zero: 2080,79.17445464934873,82.87586057999998,8.77075728,15,2050,2080
AIM/CGE 2.2,EN_INDCi2030_1600,R10MIDDLE_EAST,peak: 2030,net-zero: 2110,114.78666942204842,118.03403949999996,0,189,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1600,R10NORTH_AM,peak: 2020,net-zero: 2110,208.93983602394158,208.35341926000007,0,262,2020,2110
AIM/CGE 2.2,EN_INDCi2030_1600,R10PAC_OECD,peak: 2020,net-zero: 2110,57.61567146034459,58.2794468,0,249,2020,2110
AIM/CGE 2.2,EN_INDCi2030_1600,R10REF_ECON,peak: 2030,net-zero: 2110,112.5282526237417,122.16579387999998,0,82,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1600,R10REST_ASIA,peak: 2050,net-zero: 2110,126.32135246599938,139.34113348000005,0,74,2050,2110
AIM/CGE 2.2,EN_INDCi2030_1600f,R10AFRICA,peak: 2050,net-zero: 2090,87.73093113230338,91.58686628000002,0.2811423,5,2050,2090
AIM/CGE 2.2,EN_INDCi2030_1600f,R10CHINA+,peak: 2030,net-zero: 2110,421.54953774868557,429.1719862399998,0,78,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1600f,R10EUROPE,peak: 2020,net-zero: 2110,154.17728969159072,154.0452674,0,302,2020,2110
AIM/CGE 2.2,EN_INDCi2030_1600f,R10INDIA+,peak: 2030,net-zero: 2080,105.991903274548,100.54174170000002,7.9713753,17,2030,2080
AIM/CGE 2.2,EN_INDCi2030_1600f,R10LATIN_AM,peak: 2050,net-zero: 2080,83.68874079727449,87.41904861999998,11.11798002,15,2050,2080
AIM/CGE 2.2,EN_INDCi2030_1600f,R10MIDDLE_EAST,peak: 2050,net-zero: 2090,116.8674519262191,120.1432853,0.0028536,1,2050,2090
AIM/CGE 2.2,EN_INDCi2030_1600f,R10NORTH_AM,peak: 2020,net-zero: 2080,216.34066129562885,215.75002000000003,5.17877074,62,2020,2080
AIM/CGE 2.2,EN_INDCi2030_1600f,R10PAC_OECD,peak: 2020,net-zero: 2080,59.022451815598316,59.691990559999994,0.7226777200000002,62,2020,2080
AIM/CGE 2.2,EN_INDCi2030_1600f,R10REF_ECON,peak: 2030,net-zero: 2110,115.53921691445193,125.25363208000002,0,82,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1600f,R10REST_ASIA,peak: 2050,net-zero: 2080,131.59615479733773,144.69145758,2.2424097,5,2050,2080
AIM/CGE 2.2,EN_INDCi2030_1800,R10AFRICA,peak: 2050,net-zero: 2110,96.59907444069046,100.49019887999997,0,19,2050,2110
AIM/CGE 2.2,EN_INDCi2030_1800,R10CHINA+,peak: 2030,net-zero: 2110,457.4663664411522,465.15123103999997,0,78,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1800,R10EUROPE,peak: 2020,net-zero: 2110,170.9912830492332,170.85797209999998,0,302,2020,2110
