iso3c,m49code,r5_iamc,r6_ipcc,r10_unif,r10_iamc,r10_ipcc,r10_message,r11_message,r12_message,r12_remind,r12_witch,r22_ipcc,m49hi_ipcc,m49med_ipcc,m49lo_ipcc,m49dev_ipcc,m49sids_ipcc,m49lldc_ipcc,m49ldc_ipcc,annexi_ipcc,wmo_ipcc,eu_ipcc,oecd_ipcc,wb_ipcc
IRN,364,R5MAF,Middle East,R10AFRMEA,R10MIDDLE_EAST,Middle East,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,Middle East,Asia,Southern Asia,Southern Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,Lower-middle
IRQ,368,R5MAF,Middle East,R10AFRMEA,R10MIDDLE_EAST,Middle East,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,Middle East,Asia,Western Asia,Western Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,Upper middle
ISR,376,R5MAF,Middle East,R10AFRMEA,R10MIDDLE_EAST,Middle East,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,Middle East,Asia,Western Asia,Western Asia,Developed,NA,NA,NA,Non-Annex I,VI,NA,OECD,High
JOR,400,R5MAF,Middle East,R10AFRMEA,R10MIDDLE_EAST,Middle East,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,Middle East,Asia,Western Asia,Western Asia,Developing,NA,NA,NA,Non-Annex I,VI,NA,NA,Upper middle
KEN,404,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,NA,NA,Non-Annex I,I,NA,NA,Lower-middle
KWT,414,R5MAF,Middle East,R10AFRMEA,R10MIDDLE_EAST,Middle East,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,Middle East,Asia,Western Asia,Western Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,High
LBN,422,R5MAF,Middle East,R10AFRMEA,R10MIDDLE_EAST,Middle East,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,Middle East,Asia,Western Asia,Western Asia,Developing,NA,NA,NA,Non-Annex I,VI,NA,NA,Upper middle
LBR,430,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,NA,NA,LDC,Non-Annex I,I,NA,NA,Low
LBY,434,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,North Africa,Africa,Northern Africa,Northern Africa,Developing,NA,NA,NA,Non-Annex I,I,NA,NA,Upper middle
LSO,426,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Southern and middle Africa,Africa,Sub-Saharan Africa,Southern Africa,Developing,NA,LLDC,LDC,Non-Annex I,I,NA,NA,Lower-middle
MAR,504,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,North Africa,Africa,Northern Africa,Northern Africa,Developing,NA,NA,NA,Non-Annex I,I,NA,NA,Lower-middle
