iso3c,m49code,r5_iamc,r6_ipcc,r10_unif,r10_iamc,r10_ipcc,r10_message,r11_message,r12_message,r12_remind,r12_witch,r22_ipcc,m49hi_ipcc,m49med_ipcc,m49lo_ipcc,m49dev_ipcc,m49sids_ipcc,m49lldc_ipcc,m49ldc_ipcc,annexi_ipcc,wmo_ipcc,eu_ipcc,oecd_ipcc,wb_ipcc
CRI,188,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,NA,NA,NA,Non-Annex I,IV,NA,OECD,Upper middle
CUB,192,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,Upper middle
CUW,531,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,NA,NA,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,High
CYM,136,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,NA,NA,NA,Territory,N/A,NA,NA,High
DMA,212,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,Upper middle
DOM,214,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,Upper middle
ECU,218,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,NA,NA,Non-Annex I,III,NA,NA,Upper middle
FLK,238,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
GLP,312,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
GRD,308,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,Upper middle
GTM,320,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,NA,NA,NA,Non-Annex I,IV,NA,NA,Upper middle
GUF,254,R5LAM,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
GUY,328,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,SIDS,NA,NA,Non-Annex I,III,NA,NA,Upper middle
HND,340,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,NA,NA,NA,Non-Annex I,IV,NA,NA,Lower-middle
HTI,332,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,LDC,Non-Annex I,IV,NA,NA,Lower-middle
JAM,388,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,Upper middle
KNA,659,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,High
LCA,662,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,Upper middle
MAF,663,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Europe,Western Europe,NA,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,NA,NA,NA,Territory,N/A,NA,NA,High
MEX,484,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,NA,NA,NA,Non-Annex I,IV,NA,OECD,Upper middle
MSR,500,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,N/A
MTQ,474,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
NIC,558,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,NA,NA,NA,Non-Annex I,IV,NA,NA,Lower-middle
PAN,591,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,NA,NA,NA,Non-Annex I,IV,NA,NA,Upper middle
PER,604,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,NA,NA,Non-Annex I,III,NA,NA,Upper middle
PRI,630,R5OECD90+EU,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,North America,North America,R12NAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,High
PRY,600,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,LLDC,NA,Non-Annex I,III,NA,NA,Upper middle
SGS,239,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Europe,Western Europe,NA,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
SLV,222,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,NA,NA,NA,Non-Annex I,IV,NA,NA,Lower-middle
SPM,666,NA,Developed Countries,R10LAM,NA,North America,Europe,Western Europe,R12NAM,"Canada, NZ, Australia",europe,"Greenland, Bermuda + others",Americas,Northern America,Northern America,Developed,NA,NA,NA,Territory,N/A,NA,NA,N/A
SUR,740,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,SIDS,NA,NA,Non-Annex I,III,NA,NA,Upper middle
SXM,534,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,NA,NA,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,High
TCA,796,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,NA,NA,NA,Territory,N/A,NA,NA,High
TTO,780,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,High
URY,858,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,NA,NA,Non-Annex I,III,NA,NA,High
VCT,670,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,Upper middle
VEN,862,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,NA,NA,Non-Annex I,III,NA,NA,Upper middle
VGB,92,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Europe,Western Europe,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,High
VIR,850,R5LAM,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,North America,North America,R12NAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,High
CAN,124,R5OECD90+EU,Developed Countries,R10NAM,R10NORTH_AM,North America,North America,North America,R12NAM,"Canada, NZ, Australia",cajaz,USA & Canada,Americas,Northern America,Northern America,Developed,NA,NA,NA,Annex I,IV,NA,OECD,High
GUM,316,R5OECD90+EU,Asia and developing Pacific,R10NAM,R10NORTH_AM,South-East Asia and developing Pacific,North America,North America,R12NAM,Other Asia,easia,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,High
USA,840,R5OECD90+EU,Developed Countries,R10NAM,R10NORTH_AM,North America,North America,North America,R12NAM,United States of America,usa,USA & Canada,Americas,Northern America,Northern America,Developed,NA,NA,NA,Annex I,IV,NA,OECD,High
AUS,36,R5OECD90+EU,Developed Countries,R10PAO,R10PAC_OECD,Asia-Pacific Developed,Pacific OECD,Pacific OECD,R12PAO,"Canada, NZ, Australia",kosau,Australia & New Zealand,Oceania,Australia and New Zealand,Australia and New Zealand,Developed,NA,NA,NA,Annex I,V,NA,OECD,High
CCK,166,NA,Developed Countries,R10PAO,NA,Asia-Pacific Developed,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Asia-Pacific Developed (others),Oceania,Australia and New Zealand,Australia and New Zealand,Developed,NA,NA,NA,Territory,N/A,NA,NA,N/A
CXR,162,NA,Developed Countries,R10PAO,NA,Asia-Pacific Developed,Pacific OECD,Pacific OECD,R12PAS,Other Asia,kosau,Asia-Pacific Developed (others),Oceania,Australia and New Zealand,Australia and New Zealand,Developed,NA,NA,NA,Territory,N/A,NA,NA,N/A
HMD,334,NA,Developed Countries,R10PAO,NA,Asia-Pacific Developed,Pacific OECD,Pacific OECD,NA,"Canada, NZ, Australia",kosau,Asia-Pacific Developed (others),Oceania,Australia and New Zealand,Australia and New Zealand,Developed,NA,NA,NA,Territory,N/A,NA,NA,N/A
JPN,392,R5OECD90+EU,Developed Countries,R10PAO,R10PAC_OECD,Asia-Pacific Developed,Pacific OECD,Pacific OECD,R12PAO,Japan,cajaz,Asia-Pacific Developed (others),Asia,Eastern Asia,Eastern Asia,Developed,NA,NA,NA,Annex I,II,NA,OECD,High
NFK,574,NA,Developed Countries,R10PAO,NA,Asia-Pacific Developed,Europe,Western Europe,R12PAS,Other Asia,kosau,Asia-Pacific Developed (others),Oceania,Australia and New Zealand,Australia and New Zealand,Developed,NA,NA,NA,Territory,N/A,NA,NA,N/A
NZL,554,R5OECD90+EU,Developed Countries,R10PAO,R10PAC_OECD,Asia-Pacific Developed,Pacific OECD,Pacific OECD,R12PAO,"Canada, NZ, Australia",cajaz,Australia & New Zealand,Oceania,Australia and New Zealand,Australia and New Zealand,Developed,NA,NA,NA,Annex I,V,NA,OECD,High
AFG,4,R5ASIA,Asia and developing Pacific,R10SAS,R10INDIA+,Southern Asia,South Asia,South Asia,R12SAS,Other Asia,sasia,Rest of Southern Asia,Asia,Southern Asia,Southern Asia,Developing,NA,LLDC,LDC,Non-Annex I,II,NA,NA,Low
BGD,50,R5ASIA,Asia and developing Pacific,R10SAS,R10INDIA+,Southern Asia,South Asia,South Asia,R12SAS,Other Asia,sasia,Rest of Southern Asia,Asia,Southern Asia,Southern Asia,Developing,NA,NA,LDC,Non-Annex I,II,NA,NA,Lower-middle
BTN,64,R5ASIA,Asia and developing Pacific,R10SAS,R10INDIA+,Southern Asia,South Asia,South Asia,R12SAS,Other Asia,sasia,Rest of Southern Asia,Asia,Southern Asia,Southern Asia,Developing,NA,LLDC,LDC,Non-Annex I,II,NA,NA,Lower-middle
IND,356,R5ASIA,Asia and developing Pacific,R10SAS,R10INDIA+,Southern Asia,South Asia,South Asia,R12SAS,India,india,India & Sri Lanka,Asia,Southern Asia,Southern Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,Lower-middle
LKA,144,R5ASIA,Asia and developing Pacific,R10SAS,R10INDIA+,Southern Asia,South Asia,South Asia,R12SAS,Other Asia,sasia,India & Sri Lanka,Asia,Southern Asia,Southern Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,Lower-middle
MDV,462,R5ASIA,Asia and developing Pacific,R10SAS,R10INDIA+,Southern Asia,South Asia,South Asia,R12SAS,Other Asia,sasia,Rest of Southern Asia,Asia,Southern Asia,Southern Asia,Developing,SIDS,NA,NA,Non-Annex I,II,NA,NA,Upper middle
NPL,524,R5ASIA,Asia and developing Pacific,R10SAS,R10INDIA+,Southern Asia,South Asia,South Asia,R12SAS,Other Asia,sasia,Rest of Southern Asia,Asia,Southern Asia,Southern Asia,Developing,NA,LLDC,LDC,Non-Annex I,II,NA,NA,Lower-middle
PAK,586,R5ASIA,Asia and developing Pacific,R10SAS,R10INDIA+,Southern Asia,South Asia,South Asia,R12SAS,Other Asia,sasia,Rest of Southern Asia,Asia,Southern Asia,Southern Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,Lower-middle
