Model,Scenario,Region,Variable,Unit,2015,2019,2020,2030,2040,2050,2060,2070,2080,2090,2100
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10EUROPE,Emissions|F-Gases,Mt CO2-equiv/yr,42.60832966,48.10623996,46.28396346,25.87519522,24.32251152,59.16453125,74.43689836,97.23935021,123.0468496,148.1511588,175.1356429
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10EUROPE,Emissions|N2O,kt N2O/yr,1214.246294,1208.60344,1215.728862,1252.122186,1202.837138,1123.420238,1108.713362,1124.305229,1179.406154,1213.551367,1253.56657
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10INDIA+,Emissions|CH4,Mt CH4/yr,45.62749372,47.65268416,47.65691389,56.01661103,60.30655891,62.68676547,66.83420871,69.01683906,68.2582287,68.61167795,65.17224402
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10INDIA+,Emissions|CO2|AFOLU,Mt CO2/yr,47.32163333,42.74123333,41.59613333,20.94419979,10.38285899,-21.12767357,-77.82655867,-102.8849246,-114.2855242,-131.9322517,-159.5961525
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10INDIA+,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2601.667772,3028.781175,3106.417324,3786.769278,5129.638282,6712.027725,8701.048916,10966.56032,13744.57292,16462.38225,18265.07821
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10INDIA+,Emissions|F-Gases,Mt CO2-equiv/yr,51.45803615,59.11679172,62.91613989,51.0123534,59.55004547,54.29912356,90.90461015,150.0131449,230.8050546,324.5921799,420.1280837
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10INDIA+,Emissions|N2O,kt N2O/yr,1185.266435,1280.076217,1289.286164,1565.04834,1842.149404,2101.542957,2354.268039,2346.215903,1972.404497,1948.94761,1929.476963
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10LATIN_AM,Emissions|CH4,Mt CH4/yr,50.02191991,50.843477,51.2942257,50.74953757,47.95195249,43.63769337,40.32718683,39.78851283,39.66276785,40.66791688,39.97685285
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10LATIN_AM,Emissions|CO2|AFOLU,Mt CO2/yr,-56.89156667,-103.8526872,-110.6636474,1708.178748,1379.121364,1406.235689,1779.8131,1748.040108,1460.211416,1302.256788,794.7079063
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10LATIN_AM,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1913.515073,1803.358329,1819.851738,2544.842992,3065.226237,3201.393011,3013.209497,1933.224972,571.6245295,1087.906947,3004.855273
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10LATIN_AM,Emissions|F-Gases,Mt CO2-equiv/yr,7.606846001,8.391016233,8.916354865,10.24748957,14.43731426,67.96361189,97.90874417,139.9181972,188.0076702,232.8808044,283.0147611
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10LATIN_AM,Emissions|N2O,kt N2O/yr,1568.872142,1627.806267,1642.603854,1607.349941,1576.877555,1499.464701,1457.96974,1475.527507,1593.529262,1671.134059,1761.017234
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10MIDDLE_EAST,Emissions|CH4,Mt CH4/yr,24.90879503,28.99523788,29.63259346,31.15249951,26.91761967,22.34997888,23.36336656,23.56273012,23.16685237,22.73597565,21.74442542
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10MIDDLE_EAST,Emissions|CO2|AFOLU,Mt CO2/yr,15.8686,13.14676,12.4663,-0.354861738,-3.907061789,-5.107179142,-6.489038523,-6.968298342,-5.977889758,-8.681163995,-8.036717588
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10MIDDLE_EAST,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2157.074167,2271.110425,2295.16352,3683.270943,5216.615965,7301.18661,8779.909707,9771.45444,10758.1383,11290.55868,11359.43908
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10MIDDLE_EAST,Emissions|F-Gases,Mt CO2-equiv/yr,58.50980995,67.73666608,70.08924366,60.12030948,66.01401681,59.87520594,90.70012923,138.2435197,199.4863774,251.2497321,307.2299169
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10MIDDLE_EAST,Emissions|N2O,kt N2O/yr,208.6637182,224.3690433,227.7527361,298.4731785,380.9977062,485.1512074,487.4279604,487.0664677,496.1146775,490.2429423,487.6526973
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10NORTH_AM,Emissions|CH4,Mt CH4/yr,29.74687533,30.57792476,30.37469959,28.61995052,23.96404948,17.27259037,18.53867805,20.32902073,21.76644955,23.08869073,23.52159486
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10NORTH_AM,Emissions|CO2|AFOLU,Mt CO2/yr,221.2411667,214.5528733,212.8808,63.64820507,0.886043929,-123.5588028,-274.5748653,-355.863388,-374.4388769,-266.8813952,-217.4829196
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10NORTH_AM,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,5961.410698,5837.487004,5833.975994,6783.769203,6813.470585,6772.651144,6707.556211,6115.39845,5917.774749,6262.573735,6835.708372
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10NORTH_AM,Emissions|F-Gases,Mt CO2-equiv/yr,218.5325912,220.9213774,224.4890529,206.6848347,185.8925845,283.6131386,356.0751193,447.7441329,538.3873553,611.5858519,680.3147528
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10NORTH_AM,Emissions|N2O,kt N2O/yr,1166.897466,1192.707486,1203.584642,1235.511971,1191.230348,1071.821422,1006.202892,1029.691751,1095.101892,1153.35582,1284.109586
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10PAC_OECD,Emissions|CH4,Mt CH4/yr,8.383889319,8.002120064,8.053473151,8.461143618,8.186908571,7.887049028,8.469144559,9.100074037,9.720785308,10.70688486,11.41084833
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10PAC_OECD,Emissions|CO2|AFOLU,Mt CO2/yr,114.0241667,125.0555533,127.8134,65.07529514,48.8631855,-26.49917168,-113.2365665,-153.7739866,-192.9838596,-209.5176606,-205.7200263
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10PAC_OECD,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1731.372646,1646.917972,1632.744811,1685.543475,1559.579302,1496.484358,1538.710051,1491.808248,1469.762272,1397.815055,1463.444988
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10PAC_OECD,Emissions|F-Gases,Mt CO2-equiv/yr,14.48408272,14.67332631,15.15444212,10.56164862,10.66145252,34.0615802,42.51799228,53.02851686,63.7498585,72.25323389,80.32957536
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10PAC_OECD,Emissions|N2O,kt N2O/yr,288.5660937,288.015104,289.2695599,292.8373686,292.548852,292.3120393,285.72166,284.0791926,288.4091599,291.1404127,304.1131289
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REF_ECON,Emissions|CH4,Mt CH4/yr,25.29448185,26.46132591,26.45203908,23.96477228,22.33517974,21.69417763,19.02136354,19.7356159,20.49707477,22.76825963,22.25411565
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REF_ECON,Emissions|CO2|AFOLU,Mt CO2/yr,58.07486667,41.99286667,37.97236667,-34.61369299,-107.9336811,-187.6547941,-254.8453805,-323.2128222,-382.2403752,-387.808662,-427.6823988
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REF_ECON,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2486.12406,2554.344162,2514.045463,2525.866302,2706.492303,3174.163932,3482.583351,3673.943369,3756.335898,4003.059009,4568.697678
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REF_ECON,Emissions|F-Gases,Mt CO2-equiv/yr,67.35192248,69.42633116,72.1840619,46.22260639,44.00696184,35.82520147,46.72071512,61.6861167,77.11344069,90.91570882,105.4603376
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REF_ECON,Emissions|N2O,kt N2O/yr,498.2890601,519.8793456,526.6234404,522.4181675,507.7880672,485.5150763,492.8079052,509.0044954,542.5940714,575.2521612,618.178343
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REST_ASIA,Emissions|CH4,Mt CH4/yr,33.03995247,35.43352119,35.59866493,36.07866271,34.73403057,33.12578307,32.39929424,32.24766139,31.54089852,29.52369223,26.02447702
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REST_ASIA,Emissions|CO2|AFOLU,Mt CO2/yr,1335.7344,1265.773227,1248.282933,806.2690441,713.7621682,531.1088453,283.6052742,156.357636,-7.829462951,-287.1200216,-481.0254057
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REST_ASIA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1540.161412,1895.424337,1943.358486,2631.872961,3294.194688,4126.309707,4639.99756,5135.659517,5657.849667,6350.334691,6738.986529
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REST_ASIA,Emissions|F-Gases,Mt CO2-equiv/yr,26.72266811,28.14222807,30.1900157,31.03376292,41.67669749,83.84462634,119.8484331,168.9331442,222.4184829,271.3316828,324.219901
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10REST_ASIA,Emissions|N2O,kt N2O/yr,622.1289983,659.260999,665.3686434,794.9045982,919.3192654,972.6603242,967.1767947,986.0109104,1044.075016,1077.979124,1123.770771
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10AFRICA,Emissions|CH4,Mt CH4/yr,48.34667512,51.26694883,51.94188931,47.8434811,36.51344279,29.47203054,28.89412582,29.47500389,30.20444104,29.68739631,21.14987238
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10AFRICA,Emissions|CO2|AFOLU,Mt CO2/yr,1566.0931,1523.76686,1513.1853,727.3433861,348.4898695,-185.2776989,-357.934671,-553.7301381,-832.0276711,-839.2277905,-840.1221662
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10AFRICA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1402.728636,1542.556547,1585.772596,1666.891829,1469.191044,1205.041589,1276.413891,1488.921296,2399.712027,3802.91442,5681.632992
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10AFRICA,Emissions|F-Gases,Mt CO2-equiv/yr,32.489317,37.8589444,40.81142903,41.58612332,32.10746219,26.31052103,34.40639003,50.04154212,74.19007672,106.0254102,133.9576035
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10AFRICA,Emissions|N2O,kt N2O/yr,1083.894496,1172.18942,1180.746267,1109.455598,973.6118666,829.7811905,817.0192025,842.7716468,882.0063846,903.1868756,793.9673528
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10CHINA+,Emissions|CH4,Mt CH4/yr,71.39241731,71.92921571,72.15392476,51.07990712,35.42389559,26.85212216,21.59574532,19.29261311,18.31839062,17.27627006,11.25459146
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10CHINA+,Emissions|CO2|AFOLU,Mt CO2/yr,142.2736333,119.7605933,114.1323333,-172.508742,-360.3924569,-514.2232499,-637.1734029,-684.1642196,-696.4184933,-689.8060579,-649.3135703
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10CHINA+,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,12108.61966,13030.59674,13178.75697,11766.16047,8842.597981,5801.449092,4494.912289,4225.812138,4507.486088,4767.06571,5080.578953
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10CHINA+,Emissions|F-Gases,Mt CO2-equiv/yr,617.9365677,780.1023214,850.8841139,1086.71487,788.0815104,702.5212323,648.0284702,628.0317512,597.3167624,562.3348105,486.2545083
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10CHINA+,Emissions|N2O,kt N2O/yr,1648.865664,1566.115668,1581.938474,1628.830329,1521.823833,1325.63862,1154.820955,1063.14788,974.0403075,913.0431691,745.4716954
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10EUROPE,Emissions|CH4,Mt CH4/yr,28.94879145,28.05435629,27.88230249,27.86272028,20.1344718,12.25723679,11.66686507,11.73522987,12.29433492,12.69663139,9.251567252
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10EUROPE,Emissions|CO2|AFOLU,Mt CO2/yr,73.7,68.07152,66.6644,-10.21720665,-90.59299082,-209.5666243,-281.8659378,-338.5860992,-393.8938533,-407.1086946,-405.7536436
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10EUROPE,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,4341.540826,4160.873241,4017.606533,4966.000541,3656.773006,2528.612973,2037.856334,2035.068018,2381.999305,2660.50694,3113.58003
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10EUROPE,Emissions|F-Gases,Mt CO2-equiv/yr,42.60832966,48.10623996,46.28396346,25.87519522,15.99334573,36.82491997,34.90582276,37.09127546,39.2011252,41.55805018,40.13824346
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10EUROPE,Emissions|N2O,kt N2O/yr,1214.246294,1208.60344,1215.728862,1252.122186,1108.61185,929.5826728,868.0760879,855.4382154,831.8562017,813.5921616,681.0217759
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10INDIA+,Emissions|CH4,Mt CH4/yr,45.62749372,47.65268416,47.65691389,56.01661103,48.63438066,41.37150471,37.56758886,36.07779276,34.54812941,33.07207261,22.16032798
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10INDIA+,Emissions|CO2|AFOLU,Mt CO2/yr,47.32163333,42.74123333,41.59613333,20.94419979,-19.1733797,-60.47099534,-98.2893961,-125.9886429,-144.6800048,-178.368859,-242.501355
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10INDIA+,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2601.667772,3028.781175,3106.417324,3786.769278,3892.387685,3289.414087,3204.159152,3815.235863,5066.035873,6422.738664,7893.39269
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10INDIA+,Emissions|F-Gases,Mt CO2-equiv/yr,51.45803615,59.11679172,62.91613989,51.0123534,39.15732405,33.79661492,42.62805517,57.22147328,73.53148713,91.05172183,96.28652985
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10INDIA+,Emissions|N2O,kt N2O/yr,1185.266435,1280.076217,1289.286164,1565.04834,1697.843037,1738.937801,1843.29319,1785.140452,1391.172081,1306.618361,1048.221817
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10LATIN_AM,Emissions|CH4,Mt CH4/yr,50.02191991,50.843477,51.2942257,50.74953757,38.67097631,28.7996521,22.66796007,20.79900702,20.07486075,19.60267319,13.59321263
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10LATIN_AM,Emissions|CO2|AFOLU,Mt CO2/yr,-56.89156667,-103.8526872,-110.6636474,1708.178748,-87.59374959,-320.7430697,-813.2948748,-1058.528458,-1309.47679,-1516.562117,-1950.774098
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10LATIN_AM,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1913.515073,1803.358329,1819.851738,2544.842992,2325.904519,1568.930836,1109.613666,672.5635958,210.6919138,424.4429456,1298.571097
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10LATIN_AM,Emissions|F-Gases,Mt CO2-equiv/yr,7.606846001,8.391016233,8.916354865,10.24748957,9.493302453,42.30160395,45.91251578,53.3708255,59.89679734,65.3256595,64.86238436
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10LATIN_AM,Emissions|N2O,kt N2O/yr,1568.872142,1627.806267,1642.603854,1607.349941,1453.351487,1240.74354,1141.529193,1122.668992,1123.944618,1120.365901,956.7031485
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10MIDDLE_EAST,Emissions|CH4,Mt CH4/yr,24.90879503,28.99523788,29.63259346,31.15249951,21.70778411,14.75035838,13.13257636,12.31715775,11.72563995,10.95915243,7.39369353
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10MIDDLE_EAST,Emissions|CO2|AFOLU,Mt CO2/yr,15.8686,13.14676,12.4663,-0.354861738,-4.003334051,-5.604362489,-7.77609555,-8.602512778,-8.531131728,-14.41931553,-15.29580579
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10MIDDLE_EAST,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2157.074167,2271.110425,2295.16352,3683.270943,3958.386659,3578.147629,3233.199619,3399.461848,3965.282508,4404.970475,4909.068133
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10MIDDLE_EAST,Emissions|F-Gases,Mt CO2-equiv/yr,58.50980995,67.73666608,70.08924366,60.12030948,43.4077292,37.26725489,42.53216758,52.73203143,63.55376411,70.47834833,70.41210458
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10MIDDLE_EAST,Emissions|N2O,kt N2O/yr,208.6637182,224.3690433,227.7527361,298.4731785,351.1519213,401.4420789,381.6356614,370.5891063,349.9185331,328.669907,264.9257837
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10NORTH_AM,Emissions|CH4,Mt CH4/yr,29.74687533,30.57792476,30.37469959,28.61995052,19.32586978,11.39942456,10.42061316,10.62677177,11.01684193,11.1291675,7.997979269
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10NORTH_AM,Emissions|CO2|AFOLU,Mt CO2/yr,221.2411667,214.5528733,212.8808,63.64820507,-134.0184013,-228.6745448,-320.6321292,-428.2005527,-459.2999041,-451.7897287,-365.0636092
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10NORTH_AM,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,5961.410698,5837.487004,5833.975994,6783.769203,5170.085598,3319.124264,2470.055947,2127.530128,2181.199761,2443.320405,2954.103447
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R10NORTH_AM,Emissions|F-Gases,Mt CO2-equiv/yr,218.5325912,220.9213774,224.4890529,206.6848347,122.2342672,176.5252071,166.974918,170.7888929,171.5232059,171.5566434,155.9170865
