Model,Scenario,Region,Variable,Unit,2015,2019,2020,2030,2040,2045,2050,2053,2060,2070,2080,2090,2100
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8LATIN_AM,Emissions|CO2|AFOLU,Mt CO2/yr,2250.84971110026,2082.612910970052,2045.9166106161792,2101.840306933118,1626.1212234646964,1266.7893235396882,907.4574236146799,831.5354829580273,654.3842880925043,-1000.0940493300454,-1443.1682427030928,-1801.3396703085014,-1927.6672723196582
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8LATIN_AM,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1920.7679654473536,1811.3848646409735,1832.6556395542643,2559.9668155814725,3026.4555291300603,3327.6859271909816,3628.9163252519024,3769.344467341454,4097.010132217074,5237.68154401061,4304.992738605182,5367.889548074967,6986.629039786552
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8LATIN_AM,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,5882.147179675573,5641.805290654855,5639.205844304041,6350.401117586181,6277.716867184328,6134.899920776861,5992.082974369394,6043.9917370976655,6165.112183463631,5200.860003150075,3687.7455938090197,4251.126196450328,5683.43933579051
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8LATIN_AM,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,5980.879171814981,5741.1258731729995,5739.450260044624,6446.922044176274,6367.865881502491,6217.252118455253,6066.638355408015,6117.468931319214,6236.073608445345,5236.962818335529,3713.761323021297,4263.658900040407,5692.196472105899
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8LATIN_AM,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,6046.034420471092,5825.363597498121,5828.674006157287,6528.941479471842,6477.366353957728,6320.758116523204,6164.149879088681,6231.100151682118,6387.317454400135,5297.565291431452,3772.371771394574,4324.01954328536,5754.095380134286
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8NORTH_AM,Emissions|CO2,Mt CO2/yr,6167.502473789977,6031.648128811496,6028.672231678377,6860.789125043094,6593.642818159074,6556.0823382597155,6518.521858360357,6502.72924778893,6465.87982312226,5968.223125917975,6203.208543362329,6839.125959953127,7639.776216239996
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8NORTH_AM,Emissions|CO2|AFOLU,Mt CO2/yr,200.98295021057152,188.5458637237551,187.80605959250684,113.98511899429188,67.84314367930888,17.681936286157814,-32.47927110699325,-71.89205397609236,-163.85521400399023,-265.03375157053983,-395.8058077673081,-390.8753098848514,-267.696457685133
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8NORTH_AM,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,5966.519523579405,5843.10226508774,5840.86617208587,6746.804006048802,6525.799674479765,6538.400401973558,6551.00112946735,6574.621301765021,6629.73503712625,6233.256877488515,6599.014351129636,7230.001269837978,7907.472673925129
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8NORTH_AM,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,7253.555951085621,7145.63169287145,7142.192685426981,7875.763695842187,7557.529392016416,7439.149466889491,7320.7695417625655,7285.190483719583,7202.172681619289,6677.625417658136,6733.983271521381,7307.36862244017,8069.143541770831
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8NORTH_AM,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,7304.64621494452,7198.406745029088,7193.934898270232,7914.568008456935,7590.037029780156,7464.544196679422,7339.051363578688,7303.656017122155,7221.066875390244,6699.674985210759,6743.506699413701,7315.170096855487,8072.380229573978
